teams,home,draw,away,date,league
SPORT vs GE BRASIL,44%,30%,26%,TUE_ 23 JUL_ 02:00,BRAZILIAN SERIE B
SAO PAULO vs CHAPECOENSE AF,39%,32%,29%,TUE_ 23 JUL_ 02:00,BRAZILIAN SERIE A
VIKTORIA PLZEN vs OLYMPIAKOS,31%,33%,36%,TUE_ 23 JUL_ 20:00,CHAMPIONS LEAGUE
BASEL vs ST.GALLEN,54%,27%,19%,SAT_ 27 JUL_ 20:00,SWISS SUPER LEAGUE
SERVETTE vs SION,25%,29%,46%,SAT_ 27 JUL_ 20:00,SWISS SUPER LEAGUE
LUGANO vs THUN,45%,30%,25%,SUN_ 28 JUL_ 17:00,SWISS SUPER LEAGUE
RAPID WIEN vs SALZBURG,27%,31%,42%,FRI_ 26 JUL_ 21:45,AUSTRIAN BUNDESLIGA
ADMIRA WACKER vs WOLFSBERGER AC,33%,33%,34%,SAT_ 27 JUL_ 18:00,AUSTRIAN BUNDESLIGA
LASK vs ALTACH,38%,32%,30%,SUN_ 28 JUL_ 18:00,AUSTRIAN BUNDESLIGA
SJK vs LAHTI,58%,25%,17%,FRI_ 26 JUL_ 18:30,VEIKKAUSLIIGA
HJK vs VPS,54%,27%,19%,SAT_ 27 JUL_ 17:00,VEIKKAUSLIIGA
HONKA vs ILVES,37%,32%,31%,SAT_ 27 JUL_ 17:00,VEIKKAUSLIIGA
ST PATRICK`S vs DUNDALK,25%,29%,46%,FRI_ 26 JUL_ 21:45,LEAGUE OF IRELAND
UC DUBLIN vs WATERFORD,44%,30%,26%,FRI_ 26 JUL_ 21:45,LEAGUE OF IRELAND
FINN HARPS vs DERRY CITY,27%,30%,43%,FRI_ 26 JUL_ 22:00,LEAGUE OF IRELAND
NEW YORK CITY vs SPORTING KC,39%,32%,29%,SAT_ 27 JUL_ 02:30,MLS
LOS ANGELES vs ATLANTA,61%,24%,15%,SAT_ 27 JUL_ 05:00,MLS
NEW ENGLAND vs ORLANDO CITY,42%,31%,27%,SUN_ 28 JUL_ 02:00,MLS
BRAZILIAN SERIE A,SAO PAULO vs CHAPECOENSE AF,HOME WIN,DRAW,AWAY WIN,"TUE, 23 JUL, 02:00"
BRAZILIAN SERIE A,PALMEIRAS vs VASCO DA GAMA,HOME WIN,DRAW,AWAY WIN,"SAT, 27 JUL, 23:00"
BRAZILIAN SERIE A,INTERNACIONAL vs CEARÁ,HOME WIN,DRAW,AWAY WIN,"SUN, 28 JUL, 01:00"
SEE ALL,K-LEAGUE,63%,24%,13%,AWAY WIN
"WED, 24 JUL, 13:30",K-LEAGUE,25%,30%,45%,AWAY WIN
"TUE, 30 JUL, 13:30",K-LEAGUE,31%,33%,36%,AWAY WIN
